,Key,,Default,,,Description
,bank_id,,hermes,,,Memory bank identifier
,recall_budget,,mid,,,Recall thoroughness: low / mid / high
,memory_mode,,hybrid,,,"hybrid (context + tools), context (auto-inject only), tools (tools only)"
,auto_retain,,true,,,Automatically retain conversation turns
,auto_recall,,true,,,Automatically recall memories before each turn
,retain_async,,true,,,Process retain asynchronously on the server
,retain_context,,conversation between,,,Context label for retained memories
,,,,conversation between,,Context label for retain
,,_context,Hermes Agent and the,,,
,,,,User,,
,,,,,,
,retain_tags,,—,,,Default tags applied to retained memories; merged with per-call tool tags
,retain_source,,—,,,Optional metadata.source attached to retained memories
,retain_user_prefix,,User,,,Label used before user turns in auto-retained transcripts
